en;lv
SPIN;GRIEZT
Balance;Atlikums
PAYS;IZMAKSĀ
Bet;Likme
Auto Spin;Automātiskais grieziens
Turbo Spin;TURBO GRIEZIENS
Game History;Spēles vēsture
BUY;PIRKT
PLAY;SPĒLĒT
FREE SPINS;BEZMAKSAS GRIEZIENI
Launch Game History to see the results of previous games you've played;Atveriet spēles vēsturi, lai redzētu iepriekš izspēlēto spēļu rezultātus
Show More;Rādīt vairāk
START;SĀKT
STOP;APURĒT
Game(s) Ago;Pirms šāda spēļu skaita
Some Error Occured, please reload your page;Radās kļūda. Lūdzu, atkārtoti ielādējiet savu lapu
Round;Kārta
 will be charged from your balance; tiks iekasēts no jūsu atlikuma
 Bet will be used in Feature and in game once Feature completes; Likme tiks izmantota Papildspēlē un spēlē pēc Papildspēles beigām
CONFIRM;APSTIPRINĀT
CREDIT VALUE;KREDĪTA VĒRTĪBA
HOLD SPACEBAR FOR TURBO SPIN;TURIET NOSPIESTU ATSTARPES\n TAUSTIŅU, LAI VEIKTU TURBOGRIEZIENU
Balance;Atlikums
WON;LAIMĒTS
AUTO SPIN;AUTOGRIEZIENS
Number of Spins;Griezienu skaits
TURBO SPIN ON;TURBO GRIEZIENS IESLĒGTS
TURBO SPIN OFF;TURBO GRIEZIENS IZSLĒGTS
LINES;LĪNIJAS
BET\nMAX;MAKS. \nLIKME
TOTAL WON;KOPĒJAIS LAIMESTS
UNTIL\nFEATURE;LĪDZ \nIESPĒJAI
Time;Laiks
Net Position;Tīrais iznākums
AUTO\nSPIN;AUTO\nGRIEZIENS
CANCEL;ATCELT
Version;Versija
CONGRATULATIONS!;APSVEICAM!
You have been awarded;Jums ir piešķirts
FREE SPINS!;BEZMAKSAS GRIEZIENI!
CONTINUE;TURPINĀT
Freespins will be played at {0} per spin;Bezmaksas griezieni tiks spēlēti ar šādu likmi par griezienu: {0}
Pause;Apturēt
YOU HAVE WON;JŪS LAIMĒJĀT
THIS GAME IS CURRENTLY UNAVAILABLE.;ŠĪ SPĒLE PAŠLAIK NAV PIEEJAMA.
TEMPORARY DIFFICULTIES, PLEASE TRY AGAIN LATER OR CONTACT SUPPORT IF PROBLEM PERSISTS.;ĪSLAICĪGI SAREŽĢĪJUMI. JA PROBLĒMA SAGLABĀJAS, LŪDZU, MĒĢINIET  VĒLREIZ VĒLĀK VAI SAZINIETIES AR ATBALSTA DIENESTU.
YOUR GAME HAS TIMED OUT DUE TO AN EXTENDED PERIOD OF INACTIVITY.\n PLEASE RELOAD THE GAME TO CONTINUE PLAYING.;JŪSU SPĒLĒ ILGSTOŠAS NEAKTIVITĀTES DĒĻ IR IESTĀJIES TAIMAUTS. LŪDZU,\n ATKĀRTOTI IELĀDĒJIET SPĒLI, LAI TURPINĀTU SPĒLĒT.
YOU HAVE BEEN LOGGED OUT.;JŪS ESAT ATTEICIES.
Game exited to limit losses.;Spēle beidzās, lai ierobežotu zaudējumus.
This game doesn’t support multiple windows open at once.\n In the event of a disconnection, please allow 60 seconds before re-opening the game so it will resume where you lost connection.;Šī spēle neatbalsta vairākus vienlaikus atvērtus logus. Savienojuma pārtraukšanas gadījumā pirms spēles atkārtotas atvēršanas uzgaidiet 60 sekundes, lai tā atvērtos vietā, kurā tika pārtraukts savienojums.
A new game session has been loaded with your account.;Jūsu kontā ir ielādēta jaunā spēles sesija
This game is not available in your country;Šī spēle jūsu valstī nav pieejama
WE WERE UNABLE TO PROCESS YOUR SESSION LIMIT REQUEST. THE SESSION LIMIT MESSAGE MAY BE DISPLAYED WHEN YOU RESTART YOUR GAME.;MĒS NESPĒJĀM APSTRĀDĀT JŪSU SESIJAS IEROBEŽOJUMA PIEPRASĪJUMU. ZIŅOJUMS PAR SESIJAS IEROBEŽOJUMU VAR TIKT PARĀDĪTS, KAD RESTARTĒSIET SAVU SPĒLI.
CANNOT PROCESS GAME REQUEST DUE TO REALITY CHECK.;NEVAR APSTRĀDĀT SPĒLES PIEPRASĪJUMU, JO NOTIEK REALITĀTES PĀRBAUDE.
YOUR CURRENT SESSION HAS BEEN CLOSED. THIS ACCOUNT HAS BEEN LOCKED.;JŪSU PAŠREIZĒJĀ SESIJA IR SLĒGTA. ŠIS KONTS IR BLOĶĒTS.
YOUR SESSION HAS TIMED OUT. PLEASE TRY AGAIN.;JŪSU SESIJAI IR IESTĀJIES TAIMAUTS. LŪDZU, MĒĢINIET VĒLREIZ.
Network Error;Tīkla kļūda
BUY FEATURE ACTIVATED!;PĒRCIET AKTIVIZĒTO PAPILDSPĒLI!
CLICK TO CHANGE BETWEEN COIN AND MONEY VIEW;NOKLIKŠĶINIET, LAI PĀRSLĒGTOS STARP MONĒTU UN NAUDAS SKATU
RTP;RTP
Max Win;Maks. laimests
Mio.;Mio.
Max Payout Reached!;Sasniegta maksimālā izmaksa!
Replay Initializing;Tiek uzsākta atkārtojuma atskaņošana
Replay Has Ended;Atkārtojums ir beidzies
Date;Datums
Play Id;Spēles ID
Win;Laimests
YOUR ACCOUNT BALANCE IS TOO LOW TO PLACE THIS BET.;JŪSU KONTA ATLIKUMS IR PĀRĀK MAZS, LAI VEIKTU ŠO LIKMI.
Return To Player:;Teorētiskā atdeve spēlētājam:
Buy Feature:;Pirkt Papildspēli:
UST;UST
OK;OK
Bad request;Bad request
Invalid client IP;Invalid client IP
Invalid country;Invalid country
Jurisdiction not found;Jurisdiction not found
Jurisdiction settings not found;Jurisdiction settings not found
Invalid operator;Invalid operator
Game not configured for the operator;Game not configured for the operator
Game not enabled for the operator;Game not enabled for the operator
Invalid game;Invalid game
Invalid game status;Invalid game status
Currency is not configured for the game;Currency is not configured for the game
Invalid currency status;Invalid currency status
Default currency not found;Default currency not found
Invalid default currency status;Invalid default currency status
Jurisdiction not configured for the game;Jurisdiction not configured for the game
Invalid jurisdiction for the game;Invalid jurisdiction for the game
Language not configured for the game;Language not configured for the game
Invalid language status;Invalid language status
Default language not found;Default language not found
Default language status not valid;Default language status not valid
Bet levels not found;Bet levels not found
Integration not found;Integration not found
Session expired;Session expired
Game Engine Bad Response;Game Engine Bad Response
Insufficient funds;Insufficient funds
Internal error;Internal error
Message;Message
Start Balance;Start Balance
End Balance;End Balance
Your session has now exceeded;Your session has now exceeded
You can continue playing the game or review your Game History.;You can continue playing the game or review your Game History.
HISTORY;HISTORY
Replay;Replay
OK;OK
FEATURES;FEATURES
Autoplay stopped because loss limit was reached.;Autoplay stopped because loss limit was reached.
